,transport,traffic,roads,railway,poi,places,landuse,building,city,city_code,longitude,latitude
48,12.0,92.0,6444.0,200.0,75.0,1538.0,821.0,1264.0,揭阳市,445200,116.1197969,23.33613639
49,366.0,323.0,19680.0,511.0,559.0,3400.0,989.0,2183.0,茂名市,440900,110.9534848,22.01009072
50,704.0,180.0,18346.0,419.0,545.0,2473.0,756.0,2308.0,梅州市,441400,116.07941059999999,24.20307298
51,962.0,161.0,15614.0,719.0,295.0,2006.0,2226.0,1854.0,清远市,441800,112.87498740000001,24.31430554
52,258.0,227.0,8201.0,82.0,209.0,655.0,1290.0,6417.0,汕头市,440500,116.59556950000001,23.33031228
53,20.0,93.0,5492.0,178.0,49.0,1021.0,554.0,561.0,汕尾市,441500,115.5889047,22.875304
54,90.0,141.0,7044.0,921.0,116.0,1592.0,541.0,559.0,韶关市,440200,113.7745134,24.82036632
55,7005.0,882.0,52171.0,1604.0,2992.0,767.0,5079.0,25440.0,深圳市,440300,114.13716840000001,22.64531697
56,29.0,88.0,5067.0,189.0,75.0,1429.0,787.0,169.0,阳江市,441700,111.7745686,22.02781209
57,227.0,272.0,7409.0,463.0,573.0,1381.0,1325.0,14166.0,云浮市,445300,111.79365890000001,22.81603286
58,56.0,215.0,15398.0,473.0,166.0,3600.0,1468.0,6255.0,湛江市,440800,110.16494009999998,21.07534974
59,304.0,144.0,11996.0,797.0,482.0,2097.0,1687.0,1076.0,肇庆市,441200,112.20533030000001,23.53770546
60,522.0,126.0,17221.0,87.0,259.0,478.0,1223.0,13282.0,中山市,442000,113.39356599999999,22.51990101
